ID,Тип учреждения,Номер,Количество учащихся,Район,Ссылка
page85749,Детский сад,299,161,Авиастроительный,https://edu.tatar.ru/aviastroit/page85749.htm
page85750,Детский сад,308,189,Авиастроительный,https://edu.tatar.ru/aviastroit/page85750.htm
page85738,Детский сад,348,228,Авиастроительный,https://edu.tatar.ru/aviastroit/page85738.htm
madou353,Детский сад,353,224,Авиастроительный,https://edu.tatar.ru/aviastroit/kazan/madou353
page85736,Детский сад,366,284,Авиастроительный,https://edu.tatar.ru/aviastroit/page85736.htm
page85751,Детский сад,368,293,Авиастроительный,https://edu.tatar.ru/aviastroit/page85751.htm
madou375,Детский сад,375,250,Авиастроительный,https://edu.tatar.ru/aviastroit/madou375
page85734,Детский сад,392,274,Авиастроительный,https://edu.tatar.ru/aviastroit/page85734.htm
page85739,Детский сад,400,124,Авиастроительный,https://edu.tatar.ru/aviastroit/page85739.htm
page85753,Детский сад,404,305,Авиастроительный,https://edu.tatar.ru/aviastroit/page85753.htm
page85754,Детский сад,407,160,Авиастроительный,https://edu.tatar.ru/aviastroit/page85754.htm
page85748,Детский сад,72,402,Авиастроительный,https://edu.tatar.ru/aviastroit/page85748.htm
page85744,Детский сад,365,253,Авиастроительный,https://edu.tatar.ru/aviastroit/page85744.htm
page85733,Детский сад,111,236,Авиастроительный,https://edu.tatar.ru/aviastroit/page85733.htm
page85741,Детский сад,172,62,Авиастроительный,https://edu.tatar.ru/aviastroit/page85741.htm
page2095895,Детский сад,20,140,Авиастроительный,https://edu.tatar.ru/aviastroit/page2095895.htm
page2206658,Детский сад,22,116,Авиастроительный,https://edu.tatar.ru/aviastroit/page2206658.htm
page2106408,Детский сад,78,273,Авиастроительный,https://edu.tatar.ru/aviastroit/page2106408.htm
page2027954,Детский сад,9,150,Авиастроительный,https://edu.tatar.ru/aviastroit/page2027954.htm
page627867,Детский сад,14,300,Авиастроительный,https://edu.tatar.ru/aviastroit/page627867.htm
detsad26,Детский сад,26,162,Авиастроительный,https://edu.tatar.ru/aviastroit/detsad26
page3012383,Детский сад,123,281,Авиастроительный,https://edu.tatar.ru/aviastroit/page3012383.htm
page2215,Школа,5,880,Вахитовский,https://edu.tatar.ru/vahit/page2215.htm
page2234,Школа,98,592,Вахитовский,https://edu.tatar.ru/vahit/page2234.htm
page3000626,Школа,Без номера,88,Вахитовский,https://edu.tatar.ru/vahit/page3000626.htm
page2253,Школа,135,856,Кировский,https://edu.tatar.ru/kirov/page2253.htm
page2254,Школа,137,843,Кировский,https://edu.tatar.ru/kirov/page2254.htm
page85826,Детский сад,218,260,Кировский,https://edu.tatar.ru/kirov/page85826.htm
page3941259,Детский сад,122,368,Кировский,https://edu.tatar.ru/kirov/page3941259.htm
page2279,Школа,102,1739,Московский,https://edu.tatar.ru/moskow/page2279.htm
122,Школа,122,1098,Московский,https://edu.tatar.ru/moskow/122.ru
page2289,Школа,Без номера,0,Московский,https://edu.tatar.ru/moskow/page2289.htm
page2320,Школа,172,63,Московский,https://edu.tatar.ru/moskow/page2320.htm
page85884,Детский сад,126,155,Московский,https://edu.tatar.ru/moskow/page85884.htm
page85882,Детский сад,222,145,Московский,https://edu.tatar.ru/moskow/page85882.htm
page2300,Школа,23,1084,Ново-Савиновский,https://edu.tatar.ru/nsav/page2300.htm
page2302,Школа,31,613,Ново-Савиновский,https://edu.tatar.ru/nsav/page2302.htm
page2311,Школа,103,965,Ново-Савиновский,https://edu.tatar.ru/nsav/page2311.htm
page2316,Школа,155,1214,Ново-Савиновский,https://edu.tatar.ru/nsav/page2316.htm
page2318,Школа,170,1575,Ново-Савиновский,https://edu.tatar.ru/nsav/page2318.htm
page85906,Детский сад,315,153,Ново-Савиновский,https://edu.tatar.ru/nsav/page85906.htm
dou292,Детский сад,292,123,Ново-Савиновский,https://edu.tatar.ru/nsav/dou292
page85934,Детский сад,411,320,Ново-Савиновский,https://edu.tatar.ru/nsav/page85934.htm
page85936,Детский сад,16,234,Ново-Савиновский,https://edu.tatar.ru/nsav/page85936.htm
page85937,Детский сад,61,250,Ново-Савиновский,https://edu.tatar.ru/nsav/page85937.htm
ds_151,Детский сад,151,260,Ново-Савиновский,https://edu.tatar.ru/nsav/ds_151
detsad28,Детский сад,28,268,Ново-Савиновский,https://edu.tatar.ru/nsav/detsad28
page2365,Школа,6,2235,Приволжский,https://edu.tatar.ru/priv/page2365.htm
page2367,Школа,16,1329,Приволжский,https://edu.tatar.ru/priv/page2367.htm
page2368,Школа,17,165,Приволжский,https://edu.tatar.ru/priv/page2368.htm
g18,Школа,18,771,Приволжский,https://edu.tatar.ru/priv/g18
page2385,Школа,97,293,Приволжский,https://edu.tatar.ru/priv/page2385.htm
page2393,Школа,150,977,Приволжский,https://edu.tatar.ru/priv/page2393.htm
vizitka,Школа,76,348,Приволжский,https://edu.tatar.ru/vahit/kazan/shc76/vizitka
page85987,Детский сад,23,140,Приволжский,https://edu.tatar.ru/priv/page85987.htm
page86001,Детский сад,42,266,Приволжский,https://edu.tatar.ru/priv/page86001.htm
page85992,Детский сад,160,145,Приволжский,https://edu.tatar.ru/priv/page85992.htm
page3153061,Детский сад,4,172,Приволжский,https://edu.tatar.ru/priv/page3153061.htm
page2422,Школа,90,935,Советский,https://edu.tatar.ru/sovetcki/page2422.htm
page2436,Школа,141,1170,Советский,https://edu.tatar.ru/sovetcki/page2436.htm
page2444,Школа,167,1343,Советский,https://edu.tatar.ru/sovetcki/page2444.htm
progimnazia29,Школа,29,231,Советский,https://edu.tatar.ru/sovetcki/progimnazia29.ru
page86074,Детский сад,166,267,Советский,https://edu.tatar.ru/sovetcki/page86074.htm
page86040,Детский сад,224,282,Советский,https://edu.tatar.ru/sovetcki/page86040.htm
page86022,Детский сад,261,330,Советский,https://edu.tatar.ru/sovetcki/page86022.htm
page86047,Детский сад,316,179,Советский,https://edu.tatar.ru/sovetcki/page86047.htm
page2102773,Детский сад,113,162,Советский,https://edu.tatar.ru/sovetcki/page2102773.htm
"page2195","Школа","115","524","Авиастроительный","https://edu.tatar.ru/aviastroit/page2195.htm"
"page2186","Школа","14","1118","Авиастроительный","https://edu.tatar.ru/aviastroit/page2186.htm"
"page2255","Школа","151","744","Кировский","https://edu.tatar.ru/kirov/page2255.htm"
"","Детский сад","387","800","Московский","https://edu.tatar.ru/moskow/kazan/maoy387/.htm"
"dou12","Детский сад","12","152","Ново-Савиновский","https://edu.tatar.ru/nsav/dou12.htm"
"detsad","Детский сад","171","252","Советский","https://edu.tatar.ru/sovetcki/detsad"
